Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
CABO,"Cable One Inc",1776.33,19.33,+1.10%,1787.3,1715.11,8037,"11:17 ET"
CACI,"Caci International",217,-2.09,-0.95%,219.82,216.26,30200,"11:18 ET"
CAKE,"Cheesecake Fact",22.93,0.19,+0.84%,23.18,22.15,1122782,"11:20 ET"
CAR,"Avis Budget Group",23.28,0.57,+2.51%,23.48,22.05,1030879,"11:21 ET"
CASY,"Casey's General Stor",147.8,-0.58999999999997,-0.40%,148,146.93,34120,"11:19 ET"
CATY,"Cathay Genl Bncp",26.1,0.15,+0.58%,26.52,25.74,77804,"11:20 ET"
CBRL,"Cracker Barrel",110.15,0.84,+0.77%,110.4,107.01,83386,"11:19 ET"
CBSH,"Commerce Bancshares",59.44,0.95,+1.62%,59.54,57.66,56864,"11:20 ET"
CBT,"Cabot Corp",36.81,0.26000000000001,+0.71%,36.91,35.9,23117,"11:20 ET"
CC,"Chemours Company",14.99,-0.32,-2.09%,15.3,14.93,686615,"11:21 ET"
CCMP,"Cabot Microelectron",137.98,4.17,+3.12%,138.41,132.62,25813,"11:19 ET"
CDAY,"Ceridian Hcm Holding Inc",79.1,0.81999999999999,+1.05%,79.15,77.54,239600,"11:20 ET"
CDK,"Cdk Global Inc",41.25,0.22,+0.54%,41.33,40.66,71626,"11:20 ET"
CFR,"Cullen/Frost Bankers",74.18,1.64,+2.26%,74.24,71.64,40051,"11:20 ET"
CFX,"Colfax Corp",27.43,0.54,+2.01%,27.51,26.64,158083,"11:21 ET"
CGNX,"Cognex Cp",59.64,0.97,+1.65%,59.91,58.8,357577,"11:21 ET"
CHDN,"Churchill Downs IN",133.48,0.75,+0.57%,133.48,130.55,41653,"11:19 ET"
CHE,"Chemed Inc",442.08,-1.38,-0.31%,445.8,438.9,41222,"11:19 ET"
CHH,"Choice Hotels International",78.78,0.38,+0.48%,78.9,77.3,41448,"11:18 ET"
CIEN,"Ciena Corp",54.48,1.33,+2.50%,54.54,53.2,488671,"11:20 ET"
CIT,"Cit Group Inc",20.61,-0.12,-0.58%,20.89,19.94,642747,"11:21 ET"
CLGX,Corelogic,67.87,-0.50999999999999,-0.75%,68.68,67.44,351549,"11:20 ET"
CLH,"Clean Harbors",59.99,0.35,+0.59%,59.99,58.6,35240,"11:16 ET"
